jobTitle,company,address,salaryMin,salaryMax,date,jobDescription,jobUrl,oriJobId
Practice Lead for Testing in Czech Republic (f/m),T-Mobile Czech Republic a.s.,Praha – Chodov,,,,"We are looking for a professional with proven experience in leading testing transformation, strong background in automated testing, and hands-on expertise with testing tools. About the Role: As a Testing Practice Lead, you will be responsible for creating and driving the overall testing strategy, governance, and standardization across all tribes within the organizations (T-Mobile and Slovak Telekom). Your role will focus on improving test automation, optimizing test management tools, standardizing processes, and fostering a culture of quality. You will collaborate closely with various leads and architects to define and implement best practices in testing. Key Responsibilities: Craft Management: Coordinate Chapter Leads, ensure expert knowledge of testers, and collaborate with HR on hiring. Testing Strategy & Governance: Define and implement a centralized testing strategy, establish testing governance, and standardize processes. Test Automation & Efficiency & AI usage: Integrate automated tests into CI/CD pipeline, optimize test data preparation, and increase test automation, effective use of AI. Standardization & Process Improvement: Identify gaps, propose corrective measures, and establish common frameworks and methodologies. Collaboration & Communication: Enhance collaboration between testers, developers, business teams, and leadership. Knowledge Sharing & Team Development: Lead education and training initiatives, foster a community of practice, and support professional development. Test Management Tool Optimization: Lead the selection and implementation of efficient test management tools. Required Skills and Experience: Technical Knowledge: Strong knowledge of testing methodologies, familiarity with various testing tools, and hands-on experience with testing and CI/CD tools. Proven record of testing transformation in big company / companies. Managerial Skills: Ability to lead multi-disciplinary teams, excellent communication, presentation and organizational skills. Analytical Skills: Ability to analyze data, set and track quality metrics. Innovativeness: Ability to propose and implement new procedures, AI and modern technologies in testing. Business English is a must . Fluent Slovak and / or Czech language is a must. Allocation 80%-60% Testing Craft management - Practice leading 20%-40% other testing activities We offer our people the best Opportunity to work on innovative projects in a dynamic environment. Support for professional development and education. Friendly team and pleasant working environment. Smartphone: Choose your phone and get a compensation of up to 23,100 CZK every 3 years. Employee tariff: Use unlimited data, call and text for lower prices for private and business purposes. Yearly bonus: You can get a bonus of up to 15% of your annual fixed salary each year depending on the company’s success. T-Mobile discounts: Enjoy the 75% discount on 8 T-Mobile services for your family and friends. Partner discounts: Enjoy lower prices of products and services with our partners. Flexible hours: Adapt your work to your needs thanks to the home-office option (according to the agreement with the manager). Shares program Shares2You: Become a shareholder of the Deutsche Telekom Group and take advantage of the associated benefits. Rest and recreation: Relax with 6 weeks of holidays. MultiSport: Sport and relax with your loved ones thanks to the discounted MultiSport card. uLékaře.cz: Take care of your health with free online prevention and appointments with medical specialists for you and your whole family. Healthcare: Take care of your wellbeing with high-quality care for a discounted price with our contractual facility. Education and development: Broaden your horizons with our internal T-Univerzity offering a wide range of courses. Cafeteria: Choose from a wide range of benefits worth up to 15,000 CZK per year - sports and cultural services, health and beauty, transport allowances, holidays or language courses. Day for a good deed: You can devote one working day a year to volunteering in non-profit organizations and thus contribute to social responsibility together with us. Psychological consultations: Are you having troubles in your private or professional life? Share your burden anonymously via phone or online. Meal contribution: Enjoy a delicious meal with a work-day allowance of 123.90 CZK. Pension allowance: Get ready for your retirement with a pension allowance after 12 months with us. Everyone is welcome to join us Our employees feel that they have equal employment and career development opportunities with us, regardless of age, gender and gender identity, sexual orientation, physical and mental ability, nationality, social and ethnic origin, political views, religion and world view. This makes us very happy. We are committed to continuous improvement and to creating a safe working environment for all. What awaits you Has the job offer captured your interest? Fill in the application form and let us know about yourself. We will assess the information you send us and will get back to you under any circumstances. We will contact the chosen applicants and specify the details. A job interview is a two-way opportunity to get to know each other better. We will inform you about the result of the interview as soon as possible. Successful candidates will receive a job offer.",https://www.jobs.cz/rpd/2000779769/,2000779769
IT podpora pro kanceláře i vlaky RegioJet – Praha,RegioJet a.s.,Praha – Malešice,,,,"Hledáte různorodou práci v IT, kde skloubíte kancelářské prostředí s technologiemi ve vlacích? Nabízíme roli, která kombinuje klasickou IT podporu s instalací a správou zařízení přímo v terénu. Co vás čeká a nemine: IT podpora pro zaměstnance STUDENT AGENCY a RegioJet (helpdesk) Správa a údržba výpočetní techniky – počítače, tiskárny, platební terminály Instalace a konfigurace IT technologií ve vlacích (Wi-Fi, LTE routery, LAN, zábavní portál) Správa interních systémů – Wi-Fi AP management, prodejní PC, informační systémy Monitoring a základní správa IT infrastruktury a sítě (včetně Wi-Fi a síťových prvků) Co požadujeme: Správu OS Windows 7, 8, 10 na pokročilé úrovni Základy datových sítí (TCP/IP, strukturovaná kabeláž) Zkušenost s údržbou IT zařízení a menších LAN/Wi-Fi sítí Technická a mechanická zručnost Samostatnost, spolehlivost, schopnost komunikace a týmové spolupráce Řidičský průkaz sk. B Výhodou bude: Praxe s konfigurací síťových prvků Znalost LTE a Wi-Fi technologií SŠ vzdělání v oboru IT nebo elektro Co nabízíme: příležitost k seberealizaci a získání nových zkušeností práci s moderními technologiemi příležitost ovlivňovat chod IT oddělení svými nápady zaměstnanecké výhody (příspěvek na stravování, týden dovolené navíc, firemní akce, Multisport kartu a cafeterii slevu na produkty holdingu (jízdenky, zájezdy, letenky apod.)",https://www.jobs.cz/rpd/2000779389/,2000779389
Middle/Senior C# Developer,Veeam Software (Czech Republic) s.r.o.,"Sokolovská 695/115b, Praha - Karlín",,,,"About the Role: As a Testing Practice Lead, you will be responsible for creating and driving the overall testing strategy, governance, and standardization across all tribes within the organizations (T-Mobile and Slovak Telekom). Your role will focus on improving test automation, optimizing test management tools, standardizing processes, and fostering a culture of quality. You will collaborate closely with various leads and architects to define and implement best practices in testing.",https://www.jobs.cz/rpd/2000258539/,2000258539
Network Security Engineer L2,NTT Czech Republic s.r.o.,"Milevská 2095/5, Praha - Krč",,,,"Your day at NTT DATA As L2 Network Support Engineer at NTT DATA, you'll take on a developing engineering role where your main goal is to ensure our clients' IT infrastructure and systems remain operational. You'll achieve this by proactively monitoring, identifying, investigating, and resolving technical incidents and problems. You'll work closely with our clients and internal teams to ensure that services are restored swiftly, in line with our service level agreements (SLAs). Key Responsibilities Monitor and manage incident/request queues, ensuring timely resolution within SLA and proper documentation. Troubleshoot and escalate technical issues, identifying root causes and collaborating with internal teams and clients. Execute approved changes and maintenance activities with risk assessments and compliance. Lead shift handovers by highlighting key tickets and critical tasks; escalate issues to CoE and other teams when needed. Partner with automation teams to optimize efforts and automate routine tasks; coach L1/Service Desk teams on technical and behavioral skills. Establish infrastructure monitoring, lead client escalations, and support disaster recovery and project work. Audit tickets for quality, maintain knowledge articles, and produce reports to identify improvement opportunities. To thrive in this role, you need to have: Fluent in English, with strong cross-cultural communication and active listening skills. Resilient, adaptable, and effective under pressure with solid planning skills. Strong hands-on experience with Palo Alto technologies, particularly Prisma Access and SASE solutions, including policy configuration, troubleshooting, and integration with enterprise environments. Proficient in enterprise networking and security technologies (e.g., Pulse Secure, Palo Alto, Fortinet, Cisco, F5, BGP, OSPF, NAT). Familiar with ticketing systems and network monitoring tools (e.g., SecureCRT, LogicMonitor). Holds a relevant technical certification and a degree (or equivalent experience) in IT/Computing such CCNA and/or CCNP. Palo Alto certifications (e.g., PCNSA, PCNSE, or Prisma Certified Cloud Security Engineer) are highly preferred. What we offer: Education to the extent of agreement with the immediate supervisor 5 weeks of vacation 3 Sick-days per Year Compensation of salary for temporary incapacity to work beyond the statutory wage compensation in the amount of the fixed basic salary for temporary absence to 21 days per year Notebook and mobile phone including data tariff according to company standards. Contribution to the pension insurance or Long term investment product in the amount of CZK 1 000 monthly Budget in amount of CZK 1 800 monthly with regards to the predefined benefits packages (Premium health care / Benefits Cafeteria System / Multisport card) Refreshment in the office (coffee, tea, water) for free",https://www.jobs.cz/rpd/2000778291/,2000778291
IT Security network specialist,"awin IT, s. r. o.","Nad Šutkou 540/14, Praha - Kobylisy",70000,100000,,"Jsme úspěšná, rychle rostoucí společnost specializující se na IT zabezpečení. Hledáme nové talenty, kteří se stanou dlouhodobými členy našeho kolektivu. Pracovní nabídka Rosteme a tak rozšiřujeme tým. Chceš umět spravovat next-gen firewall & endpoint protection, aktivní prvky v síti, ochranu emailu, nebo řešíš podobné oblasti bezpečnosti? Hledáme právě tebe! Připoj se k našemu týmu a posuň své znalosti dále. Náplní práce bude: Implementace technologií z atraktivní oblasti IT bezpečnosti, například Next-Gen firewally & Endpoint Protection, XDR, MDR, zálohování, detekovat bezpečnostní hrozby a provozní problémy sítě) Technická podpora (firmy a instituce) Komunikace s podporou výrobce v AJ Organizace vlastní práce Jestli máš: Předchozí zkušenost z oblasti network & security Znalosti síťové komunikace Zkušenost se správou firewallů AJ – na úrovni komunikace s technickým supportem (telefon, email) Řidičský průkaz sk. B Min. SŠ vzdělání Dlouhodobou zkušenost s technickou podporou Výhodou je: Znalost Active Directory Znalost administrace MS365 Benefity: Přístup k zajímavým technickým školením Neformální firemní kultura a přátelský tým Práce v rozvíjejícím se oboru IT security Osobní kouč pro profesní růst a zaškolení do používaných technologií Firemní program benefitů Multisport karta HPP na dobu neurčitou Flexibilní pracovní doba Týden dovolené navíc (25 dní) Stravenkový paušál 200+ Kč Firemní i nefiremní akce Parkování před firmou a dobrá dostupnost MHD Mobilní telefon, notebook Občerstvení na pracovišti Možnost nástupu: ihned nebo dle vašich potřeb. Perspektiva dlouhodobé spolupráce. Office: Nad Šutkou 540/14, Praha 8",https://www.jobs.cz/rpd/2000777671/,2000777671
Teamleader IT podpory,RegioJet a.s.,Praha – Malešice,,,,"Máte zkušenosti s vedením týmu a chcete se profesně posouvat? Umíte plánovat, nastavovat procesy a zajistit, aby IT podpora fungovala bezchybně? Baví vás hledat řešení technických problémů a udržovat moderní technologie v chodu? Do našeho IT týmu hledáme novou posilu, která převezme odpovědnost za fungování podpory pro naše pobočky i palubní techniku. Vaší náplní práce na této pozici bude: řízení a plánování činností IT Podpory rozvoj a vedení týmu IT helpdesku pro palubní techniku a pobočky jednání a komunikace s partnery a dodavateli zodpovědnost za dodržování SLA nastavení procesů a postupu pro IT podporu zodpovědnost za správné řešení tiketů v JIRA systému řešení technických problémů zodpovědnost za nastavení a vyhodnocení KPI u přiděleného týmu zodpovědnost za fungující IT support pro skupinu firem STUDENT AGENCY a RegioJet úzká spolupráce s vedením IT oddělení účast na IT projektech monitoring IT infrastruktury pro přidělenou oblast Co očekáváme? SŠ nebo VŠ technického zaměření případně odpovídající praxi znalost PC hardware a síťového prostředí orientaci v problematice administrace OS Windows orientace v oblasti HW a řešení technických problemů schopnost přijít s koncepčním řešením, inovovat zkušenost s vedením týmu praxi na obdobné pozici minimálně 3 roky dobré komunikační schopnosti samostatnost, zodpovědnost a spolehlivost je odolný vůči stresu chuť učit se novým věcem řidičský průkaz sk. B – aktivní řidič Vidíte se na této pozici? Pak vám nabízíme: samostatnou práci na naší pobočce v Praze příležitost k seberealizaci a získání nových zkušeností zajímavou práci v přátelském a dynamickém kolektivu výkon práce s moderními technologiemi pružnou pracovní dobu týden dovolené navíc Multisport kartu stravenkový paušál a cafeterii možnost využití slev na celé portfolio služeb společnosti (letenky, zájezdy, pobyty) Zaujala vás tato pozice? V tom případě už se těšíme na váš životopis, který nám zašlete pomocí tlačítka odpovědět ve spodní části této stránky pod informacemi o pozici.",https://www.jobs.cz/rpd/2000776897/,2000776897
Site Reliability Engineer,Alma Career Czechia s.r.o.,Praha – Libeň + 3 další lokality,,,,"Currently, we are looking for reinforcements for our international Site Reliability Engineering team, so if we`ve caught your interest, please keep reading… You are skilled in the craft of development, but have the heart of a systems engineer? Then you’re just in the right place, because that is exactly who we are in our emerging SRE team – formerly a bunch of systems engineers, now AWS enthusiasts determined to build the best DevOps the world has ever seen! More about us… As mentioned, we`re an SRE team that brings together DevOps activities for migrating and launching new products in the AWS Cloud. Our current priority is the migration to AWS from other solutions and moving the company toward a modern YBIYRI approach. If you join our team, you’ll have the opportunity to be part of something new and help us do it right from the start. Our near-term goals include defining a unified approach to observability, setting error budgets, and establishing service level objectives. In short, there’s a lot to do, and we need your sharp mind to help us make it happen! What will be your job? Your main task will be to bring technological know-how to up to three product teams and collaborate with them on designing, developing, and monitoring their applications and infrastructure, as well as defining and tracking infrastructure costs and service level objectives (SLOs). How do we imagine you? You’re a master of native AWS technologies, and if you have hands-on experience with configuring CloudFront, Route 53, EC2, ECS, RDS, ECR, ELB, SNS, SQS, Lambda, and CloudWatch, that will help you a lot for an easier start You`re not afraid of infrastructure as Code (IaC). We use AWS CDK, write in TypeScript, and build on our own CDK Framework: https://github.com/alma-cdk/project. We develop several CDK constructs that product teams use to build the infrastructure for their own products. You have experience with CI/CD in GitHub Actions. You’re comfortable in a Linux environment and can work with Docker without issues. You’re eager to dive into any technology, even if you haven’t encountered it before, and can effectively explore and propose AWS-based alternatives. You have a customer-oriented mindset and are ready for a high degree of independence when working with product teams. You’ll help with infrastructure design, roadmap planning for new features, optimization, or AWS migration. You’re well-versed in DevOps methodologies. We version control, review code, and automate wherever possible. The entire company works in agile development, which helps us plan our collaboration. So planning, retrospectives, and daily stand-ups shouldn’t surprise you. At Alma Career, we’re gradually moving toward the “You build it, you run it” model, and we strongly emphasize mutual support – but not in the sense of “I’ll do it for you.” Want to impress us? Get familiar with: DevSecOps: https://www.atlassian.com/devops/devops-tools/devsecops-tools AWS Well-Architected Framework: https://aws.amazon.com/architecture/well-architected DORA metrics: https://dora.dev/guides/dora-metrics-four-keys/ What will earn you extra points? Experience with SQL and NoSQL databases Experience with configuration management tools (SaltStack, Puppet, Ansible) AWS certifications like Certified Developer, SysOps Administrator, or any higher certification What would your work day look like? The day starts with a morning stand-up with the SRE team. During the day, you’ll collaborate with the product team on designing, developing, and monitoring assigned applications and infrastructure. You’ll also contribute quality code to shared SRE repositories and perform thorough code reviews. What do we expect after 1-3 months? After one month, we expect you to be familiar with the shared repositories and the current infrastructure of the assigned applications. You should also be proactively involved with the product team and understand their needs and workflows. After three months, we expect you to be familiar with a simpler vision and help us define and implement it. What will make you happy with us? Internal or external courses/conferences. You'll have free access to our product Seduo, which is packed with personal development opportunities. 5 weeks of vacation and unlimited ""Happy Days"" – these are practically free days you can use anytime and for anything (doctor's appointments, errands, tree planting in the forest, or just because it's a nice day outside). A tea room with the best teas from all over Asia. Cafeteria credit plus meal vouchers, which is pretty much standard. Mental health care – the option to use services from Hedepy (online sessions with a psychologist/therapist). Physical health care – the option of a Multisport card. Alma Career contributes 250 CZK, plus the option for 1 accompanying adult card and up to 3 children's cards without a contribution. Support during long-term illness. A mobile tarif with 100 GB of data at no extra cost, allowing for better online meetings with colleagues and more comfortable remote work. Afternoon snacks every Tuesday and Thursday, and a fresh vitamin boost every Wednesday. Plus, a Freshpoint fridge with a tasty assortment, where Alma Career contributes 20% to the price of products. Various partner discounts (e.g., on leasing, Smarty.cz, Interhome, and many others). Of course, flexible working hours and home office. Our development team works remotely and meets once a week in Prague. We also have several other offices where you can work if needed, specifically in Brno, Ostrava, and Bratislava. In the end, you'll probably enjoy your colleagues the most. At Alma Career, we have a really great culture. Don't believe it? Check out the reviews from our employees on Atmoskop.cz. Besides, working with us also means: A friendly culture where you can be yourself, because Friendly culture grows together Job with purpose and impact because, Meaningfulness of work grows together and Opportunities for professional learning and growth, because Our people grow together. Courage grows together. Ready to shape the futurewith us? Send us your CV or LinkedIn profile and let's have an online meeting with our Head of Site Reliability Engineering Honza Habrman.",https://www.jobs.cz/rpd/2000674774/,2000674774
Head of Data,RONDA INVEST a.s.,"Olivova 2096/4, Praha - Nové Město",120000,150000,2025-09-24,"Plný úvazek | Praha | Nástup možný ihned O nás Jsme česká P2B platforma, která propojuje investory s nadějnými firmami hledajícími kapitál pro svůj růst. Od roku 2017 rosteme a zároveň neustále zlepšujeme kvalitu našich služeb i vnitřních procesů. Do našeho holdingu hledáme Head of Data – klíčovou roli v řízení dat a procesů. Tento člověk povede analytický tým a bude hlavním tahounem rozvoje datových systémů a zvyšování efektivity. Co konkrétně budeš dělat: Zmapuješ a popíšeš datové procesy a nastavíš jejich standardy. Povedeš a rozvineš analytický tým (nábor, rozvoj, motivace, zpětná vazba). Budeš zodpovídat za rozvoj datové infrastruktury a nástrojů, které podporují firemní strategii – s důrazem na automatizaci a minimalizaci chybovosti. Zajistíš kvalitní reporting a ad-hoc analýzy, které pomohou dalším oddělením v rozhodování. Budeš řídit efektivitu datových procesů a přinášet dlouhodobá řešení namísto krátkodobých záplat. Udržíš vysoký standard datového projektového řízení a transparentní komunikaci v rámci týmu i směrem k dalším oddělením. Jak to u nás funguje? Sídlíme v centru Prahy, mezi Václavským náměstím a Hlavním nádražím, v moderní kanceláři kde máme k dispozici zasedačky i klidové prostory pro soustředěnou práci. Většinu času se potkáváme osobně v kanceláři. Fungujeme v přátelské a otevřené atmosféře – zakládáme si na spolupráci, neformálních vztazích a společných akcích, jako jsou teambuildingy nebo vánoční večírky. Hledáme kolegy a kolegyně, kteří k nám zapadnou nejen odborně, ale i lidsky. Jak si Tě představujeme? Máš zkušenosti s vedením menšího až středně velkého týmu a dokážeš ho motivovat k lepším výsledkům (oceníme konkrétní čísla či příklady). Dokázal/a jsi zjednodušit a zefektivnit klíčové datové nebo analytické procesy a umíš změřit jejich přínos. Máš silné zázemí v oblasti datové analytiky nebo business intelligence. Ovládáš SQL a umíš připravit přehledné reporty (ideálně v Power BI či podobném nástroji). Disponuješ strategickým myšlením, umíš stanovovat priority a nastavovat jasné cíle. Na co se můžeš těšit ? Finanční ohodnocení je navázané na zkušenosti a potenciál, bonusový systém na výsledky společnost. Klíčovou roli v rámci holdingu s přímým dopadem na jeho fungování. Prostor pro inovace, automatizaci a zavádění datově řízených rozhodnutí. Možnost budovat a rozvíjet datový tým a analytické procesy. Multisportku s většinovým příspěvkem od zaměstnavatele i mobilní telefon[U6] Firemní vzdělávání (jazykové kurzy, další individuální vzdělávání) Stravenkový paušál Dog-friendly office 🐾 a park hned za rohem Jak u nás probíhá výběrové řízení? 1. Výběr životopisů 2. E-mail pozvánka na úvodní setkání s HR 3. Zpětná vazba nejpozději do 5 pracovních dnů 4. Zaslání zadání k vypracování před druhým kolem pohovoru 5. Druhé kolo pohovoru osobně s potenciálním nadřízeným 6. Finální nabídka 📩 Pošli nám své CV nebo LinkedIn profil. Možná právě tebe hledáme! 📍 RONDA INVEST, a.s. | Jsme česká investiční platforma, která roste s tebou.",https://www.jobs.cz/rpd/2000782001/,2000782001
Linux Administrátor - Český hosting,THINline s.r.o.,"Jeseniova 1196/52, Praha - Žižkov",50000,75000,2025-09-24,"Náplň práce správa fyzických i virtualizovaných webhostingových serverů a dohled nad jejich provozem řešení požadavků klientů (úpravy konfigurací, práce s logy, pomoc při optimalizaci provozu aplikací, bezpečnost provozu..) spolupráce a pomoc od zkušených senior administrátorů instalace a konfigurace serverů vč. HW strojů, provádění úkonů v datových centrech možnost zapojení se do vývoje nástrojů a nových služeb Co potřebujeme dobrou znalost Linuxu, ideálně zkušenosti s distribucí Debian komunikativnost a vstřícný přístup ke klientům znalost Apache, PHP, MySQL orientaci v oblasti síťových aplikací, systémů a protokolů, zkušenost s konfigurací firewallu výhodou znalost programování v Shellu, základy PHP, Ruby, a dalších jazyků pečlivost, samostatnost, spolehlivost a právní a morální bezúhonnost Oceníme předchozí praxe z oboru webhostingu (pozice je vhodná i pro juniory, pokud se chcete webhostingu dlouhodobě věnovat) Nabízíme práce na HPP - Praha 3 / homeoffice (dle preferencí zaměstnance) pracovní doba flexibilní, 40 hodin týdně (standardně 3 týdny dopolední nebo odpolední směna + 1 týden zkrácený s víkendovou službou ) zázemí stabilní firmy a možnost se dál rozvíjet (povede Vás senior-administrátor) prostor pro osobní i profesní růst a seberealizaci neformální prostředí a prima kolektiv oceňujeme přístup a znalosti",https://www.jobs.cz/rpd/2000781966/,2000781966
Legal Engineer / Legal Tech Specialista,"Frank Bold Advokáti, s.r.o.","Údolní 567/33, Brno - Brno-město",,,5. 10. 2025,"Co tě u nás čeká? Pracovní výzva spojená s nově vznikající pozicí, prostorem pro profesní růst a rozvoj – ať už jsi nějaký právní obor přímo studoval/a, anebo je ti právní prostředí jen blízké a dokážeš se v něm rychle zorientovat. Budeš se podílet na projektech automatizace a digitalizace práva pro naše klienty. Momentálně rozvíjíme třeba produkt Pracovní právo online (pracovnipravo.online), v jehož rámci nabízíme klientům digitální a flexibilní řešení jejich pracovněprávní agendy na míru. A tebe bychom měli při podobných projektech rádi u toho! Součástí tvé práce bude také zlepšování interních procesů, automatizace a inovace u nás v organizaci. V současnosti pracujeme mimo jiné třeba na implementaci našeho interního AI nástroje. Čeká tě spolupráce s našimi právníky a obchodníky, zapojíš se do komunikace s klienty, identifikuješ slepá místa jejich procesů a budeš pro ně hledat konkrétní řešení. O tom, jak ve Frank Bold propojujeme právo a technologie se můžeš dočíst třeba v rozhovoru s naším právníkem Michalem Kukem (budfrankbold.cz/blog/michal-kuk-ve-frank-bold-society-muzu-spojit-pravo-technologie-a-design), který bude tvým parťákem na rozvoji Legal Tech agendy. Ozvi se nám! Může to být to pravé místo právě pro tebe, jestli ... jsi machr na procesy: dokážeš kreativně přemýšlet nad řešením designu procesů, identifikovat problém, načrtnout řešení, provést jím ostatní a úspěšně jej implementovat, ovládáš základy programování (v jakémkoliv jazyce), funguješ obratně v no-code nástrojích a máš alespoň uživatelskou znalost AI, jsi rozvíjecí, ne úkolový/á: sedět a čekat na pokyny, to není nic pro tebe - stačí ti směr a vize a ty už samostatně realizuješ projekty a přicházíš s nápady, dovedeš si s nečekanými výzvami poradit sám/sama, ale zároveň dokážeš být také týmový/á hráč/ka a komunikovat s kolegy napříč organizací i klienty, máš za sebou pracovní zkušenosti z oblasti IT (například vývoj softwaru či aplikace) - není to podmínka, ale určitě je to plus. Podívej se, kdo jsme a jak to ve Frank Bold chodí na budfrankbold.cz. Co u nás najdeš? Staneš se součástí expertní skupiny sdružující mezinárodní tým více než sto odborníků s pobočkami v Praze, Brně, Ostravě, Bruselu a Krakově. Najdeš tu také: práci na plný nebo v případě tvého zájmu i zkrácený úvazek (min. 0,75) a zázemí kanceláře v centru Brna nebo Prahy, podle tvé preference, smysluplnou práci, neformální pracovní prostředí a příležitost potkat se se zajímavými projekty a lidmi, prostor k růstu a velkou míru svobody v práci, odměnu na základě předchozích zkušeností a výsledků výběrového řízení, flexibilní pracovní dobu, možnost pracovat částečně i z domova a další benefity jako příspěvek na stravování, 5 týdnů dovolené nebo třeba dog friendly office. Je to příležitost přesně pro tebe a chceš do toho jít? Neváhej, zodpověz nám pár dotazů, nahraj svoje CV na budfrankbold.cz/kariera/legal-engineer-legal-tech-specialista a my se ti ozveme zpět! Uzávěrka přihlášek je 5. 10. 2025, následovat budou telefonické pohovory. Ústní kolo pro pozvané uchazeče proběhne v úterý 14. 10. 2025 v Brně nebo Praze.",https://www.jobs.cz/rpd/2000770153/,2000770153
